person,line
amy," you didn't want                              me to marry the old guy with the great apartment.                              then, i tried to help your daughter to de-emphasize                              her flaws (frantically pointing at her nose) and suddenly                              i am the bad guy?"
rachel," (yelling) joey,                              where are those bags?"
joey, (yelling from                              rachel's room) she has a lot of crap!
amy," you know what?                              when i moved in here i thought: this is gonna be so                              great. just us sisters, back together again like when                              we were kids, except without that stupid jill... oh!                              who has gotten fat by the way..."
rachel, (doesn't believe                              what she's hearing) seriously?
amy, hm-mmm... mom                              said she gained like fifteen pounds.
rachel, hips or thighs?
amy, ass and face.
rachel, (gasps) oh!                              oh my god! i thought she was on atkins.
amy," she was. carbs                              found her... see, this is what i wanted. two sisters,                              talking about real stuff."
rachel," (embarrassed)                              oh, i can give you that."
amy, you can?
rachel," yeah. i just,                              i kept trying to make you a better person, but you're...                              you're already a pretty perfect version of what you                              are."
amy," (touched) thank                              you. i've got to admit, emma does look cute."
rachel, did you just                              say emma?
amy," ugh, i'm sorry...                              ella."
phoebe," that woman                              at the game didn't know what she was talking about.                              mike, obviously you have balls."
mike," but please, let's                              just forget the whole thing."
phoebe," (the waiter                              puts a piece of cake on the table) i would love it.                              consider it forgotten... but just so you know... however                              and whenever you decide to propose, i promise i'll                              say yes. whether... whether, you know, it is in a                              basketball game, or in sky writing, or you know, like                              some lame guy in a cheesy movie who hides it in the                              cake."
phoebe," it's in the                              cake, isn't it?"
mike," (puts on a fake                              smile) where else would lame mr. no balls hide it?                              (he takes the ring from the cake, and cleans it with                              a napkin)"
phoebe," what's the                              matter with me? how do i keep ruining this? i'm sorry,                              i'm sorry!"
mike, no! it's my fault.                              i keep trying to propose in these stupid ways and                              all i wanna do is tell you that i love you and i want                              to spend the rest of my life with you.
mike, i'm gonna do                              this now.
phoebe, oh my god!
mike," phoebe, i..."
phoebe," wait! oh wait!                              (she takes off a ring that was already on her left                              ring finger. after that mike starts to kneel again,                              but then...) oh no! (she was wearing rings on all                              her fingers and her thumb, and takes all of these                              off.)"
mike, ready?
phoebe, uh-huh! (and                              now mike kneels properly)
mike," phoebe, i love                              you. there's no-one else in the world i would ask                              to marry me... three times. but i wanna take care                              of you, have babies with you, and grow old with you...                              phoebe buffay, will you marry me?"
phoebe, yes!
mike, i love you!
phoebe, i love you                              more!
mike," not possible!                              (they kiss, and then mike says proudly...) she's gonna                              be mrs. no balls."
rachel, so how is the                              uhm... baby styling business going?
amy, not that great.                              it's almost if people don't want to hear that their                              babies are ugly. 
rachel, that's shocking!
amy," oh! it's ross...                              hey ross! (she says hey to the guy at the falafel                              stand, whose only similarity with ross would be his                              black hair.) hello-oo ross! (to rachel) he's rude!"
scene," central perk, everyone except phoebe is there]                           phoebe: (she enters) hey..."
all, hey!
rachel, hi!
ross," pheebs, what's wrong?"
phoebe," oh, i'm just so exhausted from dragging around                            this... (she shows her ring)huge engagement ring!"
all, oh!
rachel, my god!
joey, hey!
rachel, congratulations! wow!!
ross," so, did he get on one knee, did he have a speech                            prepared, or (in a tender way) did he cry? (the guys                            look at him) yeah, big surprise, i like proposals!"
phoebe," well, it was really sweet, and like the most                            romantic thing ever."
joey," well, hey! well... (he takes his mug to toast                            phoebe) here's to phoebe, who's found the greatest guy                            in the world! to phoebe and... (a bit uncertain) i wanna                            say mike? (pause) to phoebe and mike!"
all, whoo!
phoebe," thank you! (to rachel) oh, and i have something                            for you!"
rachel, mmh-mmh!
phoebe," it's, yes, my little black book. it's got the                            numbers of all the guys i've dated."
rachel," oh, pheebs, baby, that's nice but, you know                            what, i think i'm ok. why don't you give it to one of                            your other single girlfriends? "
phoebe," i would, but you're the last one."
rachel," (angrily) give me the book! (she takes it and                            start reading) pablo diaz, brady smith, huh, ""guy-in-van""?"
phoebe," oh, my first love! "
rachel, oh!
monica, what does the red x next to bob greenmore's                            name mean?
phoebe," dead. (everyone is a bit upset) oh, it's ok,                            no, he was old, yeah! and he lived a full life, he was                            in the first wave at omaha beach."
chandler," hey, i'm sorry, i should have given you guys                            my black book when i got married! although it wasn't                            so much a book as a... napkin. with janice's phone number                            on it."
rachel," phoebe, isn't jethro tull a band?"
phoebe," (proud of herself) oh yes, they are."
joey," (looking inside the fridge, and we only see his                            back. then he closes the door, and we see it's joey.)                            hi sweetie!"
chandler, is monica not here?
joey, no.
chandler," oh, then i'll tell you. my agency was bidding                            for a big account and they got it! it's my first national                            commercial!"
joey, cool!
chandler," yeah, and i don't wanna brag but a lot of                            the ideas were mine! (silence) hell, you weren't there?                            all the ideas were mine!!!"
joey," that's great! hey, can you cast me in it?"
chandler," oh... i don't know, i really don't think                            you're right for the part."
joey," what do you mean? i can do anything, i'm a chameleon!                            huh? (he mimes an old man with a beard) i'm old! (then                            he yawns) i'm tired! (then he mimes someone who's hot...)                            hey, i'm hot (...and cold) i'm cold!! huh?? come on!                            what can't i do?"
chandler," first of all. bravo. uh, but i really don't                            think you're right for this. the part calls for a stuffy                            college professor."
joey," i can do that! (in a deeper voice) ""hello,                            i'm your professor. when i'm not busy thinking of important                            things or... professing. i like to use..."" oh,                            what's the product?"
chandler, software that facilitates inter-business                            networking e-solutions?
joey, (after a long pause he starts miming again) i'm                            cold!
charlie, hey!
ross," guess who's a finalist for a huge research grant!                            i'll give you a hint, he's looking right at you. "
charlie," ah, well, unless it's the creepy guy with                            his hand up his kilt, i'm gonna say congratulations!                          "
ross," oh, i'm so excited, i mean, apparently i beat                            out hundreds of other applicants, included five guys                            i went to graduate school with. not that i'm keeping                            score or anything... five!"
charlie," wow, that's great! so, tell me about the grant!"
ross," well, ok, it's for 25 thousand dollars. and if                            i get it, i'll finally be able to complete my field                            research! and there will be an article about me in the                            ""paleontology review""! yeah! that'll be the                            first time my name is in there, without people raising                            serious questions about my work!"
charlie, wait. are you talking about the dewar grant?
ross, yeah. why?
charlie, benjamin hobart is administering that grant.
ross, your ex-boyfriend?
charlie, yeah.
ross," so, your ex-boyfriend is gonna determine if your                            new boyfriend gets this grant? wow, your new boyfriend                            is screwed!"
charlie," no, no, we ended up in great terms. i mean,                            if anything, i think this could help you. you know what?                            why don't we all go out to dinner together, and i can                            introduce you."
ross," well, if you think it would help."
charlie," yes, absolutely. i'll call him."
ross," ok, now, is there anything i can do to... you                            know, butter him up? anything he really likes?"
charlie, mmh... he does have a pretty serious latex                            fetish.
ross, we'll see how dinner goes.
scene, phoebe's apartment. she is packing a few tings                            into boxes.]                           phoebe: (looking at monica entering) hey! 
monica," hey, you wanna go to see a movie?"
phoebe," well, i told you i had to spend all the day                            clearing out stuff, so mike could move in."
monica," oh, right."
phoebe, yeah. 
monica," oh, well. now that i'm here i might as well                            help you with the cleaning and organizing! just happen                            to have my label maker!"
phoebe," oh, it's so hard to get rid of stuff! did you                            and chandler have to make compromises when you first                            moved in together?"
monica," uh, chandler did! what does he want you to                            give up?"
phoebe, a bunch of stuff. and the worst one... he wants                            me to get rid of gladys.
monica, who's gladys? (phoebe shows her a horrific                            painting with a half-a-body girl dummy coming out of                            the frame. monica's frightened and she gasps.) oh! what                            a tragic loss!
phoebe," yeah. i really hate to give her up. oh, i know!!                            oh, you should take her!"
monica," (faking happiness) well, i-i-i-i... i don't                            know..."
phoebe," why, you don't like her?"
monica," well, of course i do. what's not to like! i'll                            take her in a minute! but, you know, i think that you're                            giving up too easy, honey. i think that you need to                            fight for her!"
phoebe, really? you think?
monica," absolutely! yes, you say to him ""i'm sorry                            mike i can't live without her, she means too much to                            me!"""
phoebe," ok, i'll fight for her. ok! oh, wait, oh i                            just realized... if i do that, that means you don't                            get her."
monica," damn it, i did not think this through!"
chandler, hey you guys. 
rachel, hi!
joey, oh! any word on casting yet?
chandler," joe, i told you, you're just not right for                            the part."
joey," what do you mean? rach, don't i seem like a professor                            you'd buy some kind of e-crap from?"
rachel," i'm sorry, this sounds like something i'm never                            gonna be interested in."
chandler, joe...
joey," just watch it, and if you don't like it, you                            don't pass it on to your bosses!"
chandler, fine!
joey, thank you. (he sits down)
chandler," work, joe!"
joey, damn it! (he leaves)
joey, just pass it to your boss!
chandler," he's not right for the part. so if i suggest                            him, my bosses are gonna think i'm an idiot! and that's                            something they should learn on their own!"
rachel," just tell joey that you watched the tape and                            you liked it, but your bosses didn't. then that way,                            you're the good guy and they're the bad guys."
chandler," that's good! i liked it, they didn't. (he                            sees joey out of the window hitting on a girl) joey,                            for god's sake, go to work! (joey runs away)."
ross, i can't believe i'm about to meet benjamin hobart.                            i've always thought of him as one of the people i'd                            invite to my fantasy dinner party. do you think there's                            any chance he'll bring christie brinkley or c3po?
charlie," (glances over ross' shoulder) sorry, looks                            like it's just him."
benjamin," charlie! my god, you look absolutely stunning!"
ross," well, i... i am having a good hair day."
benjamin, so good to see you.
charlie," me too. (she and benjamin are hugging for                            very long and ross starts pretending to clear his throat,                            until they stop)"
ross, i'm ok.
charlie, i'm sorry... (introduces them to each other)                            ross geller... benjamin hobart.
ross," it's an honor to meet you. i can't tell you how                            long i've been an admirer of your work, i mean, that                            nobel prize, (he thumbs up) whoooo! i mean, i have to                            tell you that, you're one of the reasons i got into                            the field."
benjamin," oh, well, likewise. actually, not likewise.                            i've never heard of you until this morning, but, it's                            nice to be nice! "
charlie, shall we? (they sit down and benjamin takes                            ross' chair).
benjamin, (to ross) thank you! (to charlie). i can't                            believe that you chose this restaurant! do you remember                            the night?
charlie," oh my god, i completely forgot! (they laugh)                            oh my god! i can't believe they let us back in this                            place! (they laugh more, and ross start laughing too)."
ross," no, but, it's, you know, it's just a funny image,                            you know, the two of you, in this restaurant, with...                            (laughs nervously)tzz-zzz, mmm."
charlie," ross, why don't you tell benji about your                            proposal, while i go to the ladies room?"
benjamin," so, tell me about it."
ross," ok well, i would like to do a dig in the painted                            desert."
benjamin, m-m.
ross," see, there are still several areas that haven't                            been fully excavated."
benjamin, break up with charlie!
ross, what?
benjamin, what?
ross," did you just say ""break up with charlie""?"
benjamin," well, yes, and now. yes i did say it, and                            no, i didn't not say it."
ross," kind of inappropriate, don't you think?"
benjamin," i'm sorry. i just haven't seen her for so                            long! all these feelings are rushing back! i'm starting                            to realize how much i missed her, and i'm gonna need                            you to break up with her."
ross, are you serious?
benjamin," if you say yes then i'm serious, if you say                            no then i'm joking!"
ross, no!
benjamin, joking it is!
monica," hey, how did it go with mike, is he gonna let                            you keep the painting?"
phoebe," no, he really hates it. but he's gonna let                            me keep my box of human hair! so you got to pick your                            battles. but the good news is, gladys is yours!"
monica," wow, what's the bad news!"
rachel, who's gladys?
phoebe," oh, she's that work of art i made, you know,                            with the woman coming out of the frame."
rachel," (sarcastic)oh, and monica gets to keep her?                            in her house? i am so jealous!"
phoebe," oh, i didn't know you wanted her too!"
monica, huh!
rachel," well, i mean, sure, of course. but... you already                            gave that to monica, so..."
monica," you know, i would give her up, for you."
rachel," no, i couldn't let you do that."
monica, but i want to.
rachel, but i don't want you to.
monica, but i insist!
rachel, but i insist harder!
phoebe," girls, girls, stop, ok? we'll flip a coin.                            heads, she's rachel's, tails she's monica's. (she flips                            the coin). tails! monica, she's yours!"
monica," no, that landed in your food!"
rachel," (sarcastic) no, no, that's ok. you won fair                            and square. i'm so sad!"
joey, what's up?
chandler, bad news. i watched the tape and passed it                            along to my bosses and they weren't interested.
joey, (sounds disappointed) oh.
chandler, (hands the tape back to him) i'm sorry man.
joey," (looks at him suspiciously) but, ehm... you watched                            the tape?"
chandler," (sounds nervous) yeah! i... i... i liked                            it! (joey continues to look at him suspiciously) but,                            ehm... my bosses didn't go for it. stupid sons of bitches!"
joey, (sounds confident) you didn't watch the tape.
chandler, (looks surprised) what!? of course i did!
joey," look, it's one thing not to cast me, but to lie                            to me?"
chandler," i'm not lying to you, i watched it!"
joey," well, you lied again! (rachel comes out of her                            room and is observing the conversation)"
chandler, i watched it!
joey, keep going pinocchio!
chandler, (now yelling)(pretending to look shocked)                            i did!
joey, (yelling back) no you didn't! (turns and goes                            towards his room)
chandler," (following him) i'm telling you, i watched                            the tape. (reaches joey's room and joey slams the door                            in his face)"
rachel, did you watch the tape?
chandler," (in a sarcastic ""of course not""!-tone)                            no!"
dr. li," well, i believe that the answers lie in the                            osteological evidence. i plan to begin there."
benjamin, (nods) interesting.
ross, (rolls his eyes) i guess!
benjamin," dr. biely, your proposal includes some field                            work. where might that take place?"
dr. biely, primarily in the pierre shale region of                            south dakota.
benjamin," certainly. very well. and dr. geller, when                            is my birthday?"
ross," (shocked and confused by the question) what?                            i... i... (benjamin looks at him as if to say ""what's                            wrong? answer the question"")"
benjamin, care to venture a guess?
ross, (annoyed) may 12th?
benjamin," (looks surprised and un-impressed) that's                            not even kinda close! (ross looks around confused) dr.                            li, how many graduate students you'd be needing?"
dr. li, half a dozen.
benjamin," i see, and dr. biely?"
dr. biely, three for excavation and two for analysis.
benjamin," certainly. dr. geller, which 1965 shirelles                            hit was later covered by a popular british invasion                            band?"
ross, (even more shocked) wha..? i need 6 graduate                            students. 
benjamin," no! i'm sorry, we were looking for ""baby                            it's you"". baby it's you."
ross," wha...? wait, wait, wait, just a minute. none                            of my questions have anything to do with paleontology."
benjamin," you're right, i apologize. scratch the last                            question. spell ""boscodictiasaur""."
ross," (annoyed) um... i've never heard of a ""boscodictiasaur""."
benjamin," yeah, i just made it up. spell it."
ross, (stares at him angrily) ok. (determined to spell                            it correctly) b - o - s ...
benjamin," no, it starts with a silent ""m""."
ross, oh come on!!
rachel, but you are a liar.
chandler, what did i just say?
joey, you still here?
chandler," yes, and i have to say, i am not just hurt.                            i am insulted. when i tell somebody i did something..."
joey," ok whoah-hey... let me just stop you right there,                            ok? first, you lied, right? then, you lied about lying,                            ok? then you lied about lying about lying, ok? so before                            you lie about lying about lying about lying about...                            lying... (loses count and begins to count the number                            of 'lyings' in the air but gives up.)(yelling) stop                            lying!"
chandler, why are you so sure i didn't watch this tape?
joey, (very angry) you wanna know wh...? you wanna                            know why? (goes back into his room)
rachel," well, this is going well. (chandler looks worried)"
joey," (comes out holding the tape) here's how i know                            you didn't watch the tape, ok? (puts it into the vcr)                            if you had seen what was on this tape, believe me, you                            would have some comments. alright, now remember, i got                            paid a lot of money for this and it only aired in japan.                            (presses play and he appears on the tv screen and a                            tv commercial begins)"
chandler, he really is a chameleon.
monica," (faking happiness) oh, my! "
rachel," (surprised by how ugly it is) wow! (sarcastic)                            oh, she's so nice and big! oh, monica, where are you                            going to display gladys oh so proudly? (looks around                            for a spot)"
rachel," well, hey! how about right above the tv? (points                            to the spot where her famous french poster is hanging).                            that way, it will be the first thing that you see when                            you walk in the door!"
phoebe," (genuinely excited about it) yeah, yeah! and                            you can get rid of that french poster."
monica, (offended) i like that poster!
phoebe, really? it doesn't have anything coming out                            of it. or maybe there is some place for her in your                            bedroom?
rachel, (jumps at the chance to make that happen) oh!                            there's nothing above your bed!!
monica, (impatient with rachel) are you still here?
scene, ross' office. ross is pacing and benjamin enters]
benjamin, i've come here to apologize. i think i may                            have let my feelings for charlie interfere with the                            interview process. 
ross, (sarcastic) no! stop! 
benjamin," anyway, i've decided to offer you the grant.                          "
ross, (skeptical) really?
benjamin, well... there is just one small... stipulation...
ross, i have to break up with charlie?
benjamin," hey, you got one right!"
ross, you're crazy.
benjamin," crazy, or... romantic?"
ross, crazy!
benjamin, ooor...
ross, (yelling) get out! (benjamin leaves)
rachel, o-oh my god!
joey, (enters from his bedroom) what?
rachel," joey, what... is... this...thing... doing here?"
joey, i got it from monica. she sold it to me for a                            very reasonable price.
rachel," joey, we're not keeping this!"
joey, but it's an original buffay...
rachel," alright, fine. you can keep it. as long as                            you don't mind that she's haunted. "
joey, hey? what? what? wey! whoo! what? what!?
rachel," well, legend has it joey, that... she comes                            alive when you're asleep."
rachel," she climbs out of the frame, and then drags                            her half-a-body across the floor, just looking for legs                            to steal. (in a spooky, slow voice) and then with her                            one good hand, she slo-o-owly re-e-a-aches up and turns                            your doorknob."
joey, get that legless witch out of here!
monica, hey! i sold that to joey.
rachel," well, why i told him it's haunted. two can                            play at this game. (gives gladys to monica)"
monica," no, too late. you can't give it back! (she                            pushes the painting back to rachel)"
rachel, yes i can! (pushes her back again)
monica, no you can't. she's yours!
rachel, she's yours!
monica, she's yours!
rachel, she's yours!
phoebe, hey! (there's a pause)
rachel, she's mine!
monica, she's m-i-i-ne!
rachel, she's mine!
monica, she's mine!
phoebe, you guys! you guys! you don't have to fight                            over her anymore. (she goes out into the hallway and                            enters with an even more hideous painting/collage. one                            of those faceles mannequins heads wearing a blueish                            dress and orange gloves reaching out into the room.                            around the head 3 small dolls are hovering.) whoever                            doesn't get gladys gets glynnis. (rachel and monica                            are gasping for air at the sight of this monstrous piece                            of art.)
rachel, i want gladys!
monica, she's mine!
rachel, she's mine!
monica, she's mine!
rachel, she's mine!
scene," rachel and joey's. joey's home alone, reading                            a sports illustrated magazine when chandler enters.]                           chandler: look, i'm sorry i didn't give them your tape.                            and i promise, next time to submit you whether i think                            you are right for the part or not."
joey, that's not the point chandler. the point is that                            you lied.
chandler, i know. you're right. what's it gonna take                            for you to forgive me?
rachel, excellent!
joey," now, what do you say?"
chandler, lying is wrong!
joey, and?... and?
chandler, i'm a pretty little girl.
phoebe, i knew it!
charlie, did you get the grant?
ross," no i didn't, and you want to know why? because                            your ex-boyfriend is still in love with you."
charlie, what?
ross," yeah. he wouldn't give me the grant, because                            i wouldn't give you up."
charlie," benji isn't in love with me. i mean, he broke                            up with me. and besides, he's a very ethical man."
ross," really? is it ethical to ask someone in a grant                            review, who was the voice of ""underdog""?"
charlie," i'm sure he was just joking, ross."
ross," if you don't believe me, let's go talk to him,                            okay? i'm telling you, he didn't ask me one paleontological                            question."
charlie, seriously?
ross," oh, i'm sorry, no. he did ask me one. uhm...                            how do you spell mboscodictiosaur?"
charlie," well, if it's like the lake mbosco in congo,                            then m-b-o... "
ross, damnit!
ross," i want you to tell her everything. about the                            deal you tried to make with me, about the crazy questions                            you... wally cox! that's the voice of underdog!"
benjamin," like i tried to tell you in the interview                            ross, this grant is not based on your knowledge of pretty                            useless trivia."
ross," no, no, no. don't do that! i want you to look                            her in the eyes, and tell her the truth."
charlie, benji?
benjamin," alright, it's true. i behaved horribly. but                            it's only because i still love you. and i would do anything                            to have you back in my life."
ross," too little, too late, benji!"
charlie, i can't believe this.
benjamin," i never should have broken up with you. i                            think about you all the time. i mean, do you ever still                            think about me? "
ross, (indignant) no!
charlie, yes!
ross, what?
charlie," i don't know what to say, benji. this is all                            so.... romantic."
ross, or...
benjamin," listen, i know, i may be way out of bounds                            here, but is there any chance you will take me back?"
charlie, maybe...
ross," sweetie, this conversation is starting to make                            me a little uncomfortable."
charlie," oh god! i am so sorry, but... (she puts her                            hand on ross's cheek) i mean it's... there's so much                            history between us, you know..."
benjamin, (puts his hand on ross's other cheek) i'm                            sorry too...
benjamin, i love you!
charlie, i love you too! (and they start to kiss)
ross," okay, that's it. we are seeing other people!"
joey, gladys?
rachel," ha ha ha, third time this week. man, this does                            not get old."
joey, you're mean!
rachel," oh, don't be such a baby!"
ross, hey you guys!
phoebe, hey!
ross," hey, what are you doing?"
mike," oh, figuring out our wedding plans."
chandler," that's funny, we were doing the same thing!"
ross, yeah!
phoebe," it's really crazy! the hall, the dress, the                            food... i-i had no idea how expensive this stuff was!"
chandler," yeah it is really pricey. i mean, i freaked                            when i first heard the numbers."
phoebe, so what did you two do about it?
chandler," it was pretty simple actually, i came up                            with a couple of cost-cutting solutions, wrote out a                            list and monica told me to go to hell."
ross," there's no way around it pheebs, you just gonna                            have to accept the fact that this is gonna cost you                            a lot of money."
mike, i heard that weddings are like a 40 billion dollar                            a year industry.
ross," yeah, and i'm responsible for just like half                            of that."
phoebe," but really, it does seem like this money could                            be put to better use?"
mike, are you serious?
phoebe," yeah! now, how would you feel if we gave all                            the wedding money to charity and we just got married                            at city hall?"
mike, i think it would make me wanna marry you even                            more. (he kisses her)
ross," i've got to say you guys, that's an incredible                            gesture!"
chandler, (to ross) maybe you do that next time you                            get married!
ross," no, no, no. the next time it's gonna be a hawaii                            at sunset. [pause] but maybe the time after that!"
joey, hey!
chandler, hey!
joey, what's going on?
chandler, our adoption social worker is coming by today                            so we are cleaning the apartment.
monica, (sarcastically) we?
chandler, you know you don't want me to help. you can't                            have it both ways!
joey," hey, is this person who decides whether or not                            you... get a baby?"
chandler, kind of. she's coming by to interview us                            and see where we live.
monica," and it has to go perfectly, because if she                            doesn't like something about us she can keep us off                            every adoption list in the state."
joey," hey, maybe i should stop by! she could be a soap                            opera fan! it's very impressive when the little people                            know a celebrity."
chandler, (pointing at himself) little people?
joey, (pointing at himself) celebrity.
monica," ok, so i think i'm just about done here, unless                            you have any bad stuff hidden somewhere, like... porn                            or cigarettes?"
chandler, what...? no!
monica, chandler?
chandler," (he stands up and he feels very offended)                            i don't, and i'm offended by the insinuation!"
monica," ok, so there's not a magazine under the couch,                            or a pack of cigarettes taped to the back of the toilet                            tank, or a filthy video in the vcr?"
chandler," i'll admit to the cigarettes and the magazine,                            but that tape is not mine."
monica, it isn't mine!
joey," (going out with the vcr in his hand) well, i                            guess we'll never know whose it is!"
charity guy, may i help you? 
phoebe, yes. we're here to make a rather sizeable donation                            to the children.
charity guy," well, any contribution, large or small,                            is always appreciated."
phoebe," well, i think you're gonna appreciate it the                            crap out of this one (she gives him a check)"
charity guy," well, this is very generous!"
phoebe, and we don't want any recognition. this is                            completely anonymous.
mike, completely anonymous. from two kind strangers.
phoebe, mr. x and phoebe buffay.
charity guy," well if you like, we can include your                            names in our newsletter."
mike, not necessary.
phoebe, buffay is spelled b-u-f-f-a-y.
mike," and ""x"" is spelled uhm... ""mike                            hannigan""."
charity guy," right. well, on behalf of the children:                            thank you both very much."
phoebe," sure, i so glad we did this. it feels so good!"
mike, it does. it feels really good!
phoebe," oh, look! and we get these free t-shirts! (she                            takes a t-shirt which was on the counter)"
charity guy," oh, actually, that's the shirt i wore                            to the gym."
phoebe, mhm... it's moist.
ross, (he enters) hi!
rachel, hi! emma will be up in a minute!
ross," oh, good!"
rachel," oh hey ross... listen, i heard about you and                            charlie. i'm really sorry."
ross," oh, that's ok. i'm sure there are tons of other                            beautiful paleontologists out there."
rachel, absolutely.
ross, there was one! she's it! all the rest look like                            they should live under a bridge!
rachel," so, uhm... what are you gonna do today?"
ross," well, i was thinking of taking emma to the playground!"
rachel," oh my god, what!?"
ross, like i said i was thinking of taking emma to                            the museum of knives and fire!
rachel," ok, look, ross. i do not want emma going to                            the playground."
ross, be-caaauuuse...
rachel," (upset) all right, well, if you must know...                            i had a traumatic... swing incident... when i was little."
ross, seriously?
rachel," yes, i was 4 years old and i was on the swing                            and then all of a sudden my hair got tangled in the                            chain. and to get me out my mom had to-had to cut a                            big chunk of my hair! (crying) and it was uneven for                            weeks!"
ross, (sarcastic) and you made it through that? i wonder                            who's gonna play you in the movie!
rachel," ok, fine! you can make fun of me. i do not                            want emma going there. and i was thinking claire danes."
ross," look, i'm sorry to hear about your tragedy, ok?                            but the swings are perfectly safe, and besides emma                            loves them. you know what, you should come with us and                            you'll see!"
rachel," ross, those things go like 40 miles an hour!                            ok? when you're... and there is that moment when you                            are at the top, when you just don't know if you're gonna                            return back to earth!"
rachel, all right!
ross," good, you don’t want to be one of those                            mothers who pass on their irrational fears on their                            children, do you?"
rachel," irrational, huh? all right, well, i’ll                            remember that the next time you freak out about a spider                            in your apartment!"
ross," oh, yeah, that’s the same, i am sure there                            are thirty different species of poisonous swings!"
monica," oh my god, the adoption lady is early! "
chandler," ok, ok, here we go."
monica, ok.
chandler, here we go. stand up straight. (smiling)                            big smile. (opens the door and both are smiling exaggeratedly)
phoebe," hello, is this the creepy residence?"
monica," we’re waiting for the adoption lady,                            but, hey, i’m glad you’re here. i was cleaning                            this morning and i found this (she puts a box on the                            table and opens it). i don’t know if you wanna                            use it, but…"
phoebe," awe, this is so sweet of you! but you know                            what? i won’t be needing a veil, i actually won’t                            be wearing a dress at all!"
monica, i told you! i am not coming to a naked wedding!                          
phoebe," no, no, no, we’re not having a big reception,                            we took the money we were gonna spend on a wedding and                            we donate them to the children charity."
monica, that’s crazy! (phoebe looks bewildered).                            i am sorry. i just can’t imagine giving up my                            one wedding day like that!
phoebe," we, you know, we’re different! we don’t                            care about having a huge party. (she picks up the veil)                            this is really nice for you, but, oh, please, i put                            this on? (she puts it on) and, ow, i look (she looks                            her reflex image on a toaster), why, well, radiant.                            (pause) all right, well, who cares, i don’t need                            a pretty veil and a fancy dress."
monica," that’s right. you’re making a commitment                            and that’s the same, whether you do that at the                            plaza or, where are you gonna do it?"
phoebe, city hall.
monica," ow! (chandler slaps her on her back) oh, that                            sounds nice! i am just there for jury duty. they really                            spruce that place up!"
phoebe," it’s ok, it’s ok. i made my decision.                            what i really want is a great big wedding (she covers                            her mouth)"
monica, yay!
chandler, but you already gave all your money to charity!
phoebe," well, i’ll just ask for it back!"
chandler, i don’t think you can do that!
monica," why not! this is her wedding day, this is way                            more important than some stupid kids!"
chandler," that’s sweet, honey, but save something                            for the adoption lady."
rachel," ok, careful."
ross, ok.
rachel," careful, watch her hair. watch her hair!"
ross," rach, she’s got like three hairs!"
rachel," i know (she touches emma’s head) but                            they’re just so beautiful! oh, my god, i just                            pulled one out."
ross, i promise you she’s safe! no watch how                            much she loves this. 
rachel, ok.
rachel, ok.
ross, here we go! (he starts pushing emma)
rachel," ok, careful, ok. (emma giggles) oh, she’s                            smiling! oh my god, she does like it!"
ross," see, i told you!"
rachel," awe! (emma laughs) oh my god! looks, she’s                            a little dare-devil! oh, let me push, can i push?"
ross," oh, absolutely!"
rachel," ok. oh god. (to ross) get the camera, it’s                            in the diaper bag."
ross," ok! (he takes the camera and walks backwards                            to take a shot) see? scared of swings, i bet you feel                            pretty silly (a swinging boy knocks him down) ow!"
mike, we’re seriously asking for our money back?
phoebe," it’s for our wedding day! right, now,                            is this guy gay or straight, because one of us gonna                            have to start flirting."
charity guy, wow! are you here to make another donation                            the same day? i don’t think that that’s                            ever happened before.
phoebe," the donation we made earlier, we k…,                            we w…, we want it back."
charity guy, excuse me?
phoebe," yeah. see, that money was for a big wedding,                            that we thought we didn’t want, but it turns out                            we do."
charity guy, so you’re asking us to refund your                            donation to the children?
mike, yeah! this feels really good.
phoebe," i am sorry. i am, but this wedding is just                            really important to me."
charity guy," hey, it’s not my business, (he takes                            their check from a drawer) besides it’s probably                            a good thing. we really would have been spoiling the                            children, all those food, and warm clothing…"
phoebe," hey, that’s not fair! a person’s                            wedding is important! and especially to me! ok? i didn’t                            have a graduation party! and i didn’t go to prom.                            and i spent my sweet sixteen being chased round a tire                            yard by an escaped mental patient who is his own words                            wanted to “kill me” or whatever. so i deserve                            a real celebration and i am not gonna let some sweaty                            little man make me feel badly about it.( she storms                            out)"
mike, she could have been talking about either one                            of us.
laura," hi, i am laura, i am here for your adoption                            interview."
